timestamp,pm2_5,pm10,co2,tvoc,ozone,temperature,humidity
2025-05-24T00:00:00,18.0,23.8,388.5,14.3,21.6,16.8,46.7
2025-05-24T01:00:00,4.1,1.9,452.7,63.0,24.5,16.3,40.8
2025-05-24T02:00:00,17.7,21.6,385.4,19.4,37.9,16.5,68.4
2025-05-24T03:00:00,11.5,11.9,474.8,46.6,15.8,20.6,60.4
2025-05-24T04:00:00,11.4,23.3,375.2,25.8,39.4,16.7,77.2
2025-05-24T05:00:00,7.5,12.2,441.2,35.8,33.3,21.5,73.1
2025-05-24T06:00:00,19.0,24.7,416.4,71.1,32.4,22.0,60.7
2025-05-24T07:00:00,30.8,57.0,469.8,74.1,42.4,20.2,69.7
2025-05-24T08:00:00,15.9,16.2,623.4,64.0,29.2,21.1,66.9
2025-05-24T09:00:00,8.5,20.0,505.2,54.1,17.7,25.9,70.7
2025-05-24T10:00:00,5.0,10.1,544.6,24.4,37.4,25.4,44.1
2025-05-24T11:00:00,8.4,14.2,516.2,24.9,30.9,31.2,43.6
2025-05-24T12:00:00,8.8,20.8,526.1,58.0,38.6,30.1,55.6
2025-05-24T13:00:00,3.4,9.4,482.0,52.0,43.8,30.3,29.1
2025-05-24T14:00:00,19.4,22.7,475.9,31.0,63.0,31.6,23.1
2025-05-24T15:00:00,19.7,20.8,529.0,47.5,41.6,30.0,36.1
2025-05-24T16:00:00,17.4,19.4,627.0,63.7,46.4,28.0,16.0
2025-05-24T17:00:00,28.5,46.0,572.3,65.4,31.4,27.5,32.6
2025-05-24T18:00:00,13.3,24.3,526.0,65.7,42.4,24.5,13.3
2025-05-24T19:00:00,17.0,25.9,541.1,63.6,29.0,23.5,27.3
2025-05-24T20:00:00,9.7,18.5,589.5,69.2,38.0,25.8,21.9
2025-05-24T21:00:00,19.8,21.5,652.2,17.5,30.1,20.3,34.4
2025-05-24T22:00:00,7.8,13.2,480.0,33.5,40.1,23.7,21.7
2025-05-24T23:00:00,21.7,30.5,351.2,12.0,40.7,17.5,25.4
2025-05-25T00:00:00,7.9,14.9,443.2,49.5,18.9,16.7,54.1
2025-05-25T01:00:00,15.2,18.9,496.6,42.3,11.4,19.7,58.8
2025-05-25T02:00:00,16.4,30.7,487.0,63.6,23.3,20.4,58.4
2025-05-25T03:00:00,21.4,41.9,438.0,29.6,36.1,18.0,56.9
2025-05-25T04:00:00,12.2,19.7,468.3,44.9,24.2,19.8,69.5
2025-05-25T05:00:00,17.3,25.1,483.9,11.6,27.6,18.7,54.3
2025-05-25T06:00:00,7.3,10.0,372.9,75.1,33.5,18.6,73.4
2025-05-25T07:00:00,16.7,29.7,443.5,79.7,34.0,21.5,59.7
2025-05-25T08:00:00,9.7,18.1,498.8,52.7,22.0,24.8,67.6
2025-05-25T09:00:00,16.4,31.6,475.1,39.8,35.4,28.4,73.5
